ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  13:51:00
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-08  -  13:51:03
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-08  -  13:51:04
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  13:51:06
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  13:52:01
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-08  -  13:52:27
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-08  -  13:52:28
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  13:52:29
